,company_name,fund_code,fund_name,number_of_participants,unit_value_change_ytd_pct,bik_pct,predicted_bik_pct,report_date,fund_type,company_short,relative_change
643,"Goindex, UAB",GOX-75/81,Goindex pensija 1975–1981 tikslinės grupės pensijų fondas [11],157,5.320585,0.21,,2023-03-31,1975-1981,Goindex,5.320585
427,"Goindex, UAB",GOX-75/81,Goindex pensija 1975–1981 tikslinės grupės pensijų fondas,289,11.372329,0.21,,2023-06-30,1975-1981,Goindex,5.746019
867,"Goindex, UAB",GOX-75/81,Goindex pensija 1975–1981 tikslinės grupės pensijų fondas,437,11.451069,0.21,,2023-09-30,1975-1981,Goindex,0.07070303
157,"Goindex, UAB",GOX-75/81,Goindex pensija 1975–1981 tikslinės grupės pensijų fondas,760,18.008999,0.21,,2023-12-31,1975-1981,Goindex,5.884135
595,"Goindex, UAB",GOX-75/81,Goindex pensija 1975–1981 tikslinės grupės pensijų fondas,1168,10.227815,0.57,,2024-03-31,1975-1981,Goindex,10.227815
779,"Goindex, UAB",GOX-75/81,Goindex pensija 1975–1981 tikslinės grupės pensijų fondas,1568,14.612525,0.57,,2024-06-30,1975-1981,Goindex,3.977871
299,"Goindex, UAB",GOX-75/81,Goindex pensija 1975–1981 tikslinės grupės pensijų fondas,2229,16.156706,0.57,,2024-09-30,1975-1981,Goindex,1.3473034
731,"Goindex, UAB",GOX-75/81,Goindex pensija 1975–1981 tikslinės grupės pensijų fondas,2900,23.563053,0.57,,2024-12-31,1975-1981,Goindex,6.376159
921,"Goindex, UAB",GOX-75/81,Goindex pensija 1975–1981 tikslinės grupės pensijų fondas,3541,-5.754841,0.5782,,2025-03-31,1975-1981,Goindex,-5.754841
109,"Goindex, UAB",GOX-75/81,Goindex pensija 1975–1981 tikslinės grupės pensijų fondas,4025,-2.9777057,0.5782,,2025-06-30,1975-1981,Goindex,2.9467106
251,"Goindex, UAB",GOX-75/81,Goindex pensija 1975–1981 tikslinės grupės pensijų fondas,4683,4.073131,0.5782,,2025-09-30,1975-1981,Goindex,7.2672367
637,"Goindex, UAB",GOX-82/88,Goindex pensija 1982–1988 tikslinės grupės pensijų fondas [11],175,5.29905,0.21,,2023-03-31,1982-1988,Goindex,5.29905
421,"Goindex, UAB",GOX-82/88,Goindex pensija 1982–1988 tikslinės grupės pensijų fondas,415,11.38066,0.21,,2023-06-30,1982-1988,Goindex,5.775559
861,"Goindex, UAB",GOX-82/88,Goindex pensija 1982–1988 tikslinės grupės pensijų fondas,2033,11.425377,0.21,,2023-09-30,1982-1988,Goindex,0.04014969
151,"Goindex, UAB",GOX-82/88,Goindex pensija 1982–1988 tikslinės grupės pensijų fondas,2532,17.942986,0.21,,2023-12-31,1982-1988,Goindex,5.849302
589,"Goindex, UAB",GOX-82/88,Goindex pensija 1982–1988 tikslinės grupės pensijų fondas,3162,10.199052,0.56,,2024-03-31,1982-1988,Goindex,10.199052
773,"Goindex, UAB",GOX-82/88,Goindex pensija 1982–1988 tikslinės grupės pensijų fondas,3783,14.578199,0.56,,2024-06-30,1982-1988,Goindex,3.9738536
293,"Goindex, UAB",GOX-82/88,Goindex pensija 1982–1988 tikslinės grupės pensijų fondas,5566,16.104265,0.56,,2024-09-30,1982-1988,Goindex,1.3319016
725,"Goindex, UAB",GOX-82/88,Goindex pensija 1982–1988 tikslinės grupės pensijų fondas,6641,23.488152,0.56,,2024-12-31,1982-1988,Goindex,6.3596964
915,"Goindex, UAB",GOX-82/88,Goindex pensija 1982–1988 tikslinės grupės pensijų fondas,7634,-5.7491555,0.577,,2025-03-31,1982-1988,Goindex,-5.7491555
103,"Goindex, UAB",GOX-82/88,Goindex pensija 1982–1988 tikslinės grupės pensijų fondas,8537,-3.001228,0.577,,2025-06-30,1982-1988,Goindex,2.9155374
245,"Goindex, UAB",GOX-82/88,Goindex pensija 1982–1988 tikslinės grupės pensijų fondas,10105,4.0451336,0.577,,2025-09-30,1982-1988,Goindex,7.2643757
631,"Goindex, UAB",GOX-89/95,Goindex pensija 1989–1995 tikslinės grupės pensijų fondas [11],233,5.332433,0.21,,2023-03-31,1989-1995,Goindex,5.332433
415,"Goindex, UAB",GOX-89/95,Goindex pensija 1989–1995 tikslinės grupės pensijų fondas,534,11.351109,0.21,,2023-06-30,1989-1995,Goindex,5.7139754
855,"Goindex, UAB",GOX-89/95,Goindex pensija 1989–1995 tikslinės grupės pensijų fondas,2544,11.407357,0.21,,2023-09-30,1989-1995,Goindex,0.050508976
145,"Goindex, UAB",GOX-89/95,Goindex pensija 1989–1995 tikslinės grupės pensijų fondas,3308,17.932276,0.21,,2023-12-31,1989-1995,Goindex,5.856812
583,"Goindex, UAB",GOX-89/95,Goindex pensija 1989–1995 tikslinės grupės pensijų fondas,4333,10.207002,0.56,,2024-03-31,1989-1995,Goindex,10.207002
767,"Goindex, UAB",GOX-89/95,Goindex pensija 1989–1995 tikslinės grupės pensijų fondas,5202,14.566441,0.56,,2024-06-30,1989-1995,Goindex,3.955686
287,"Goindex, UAB",GOX-89/95,Goindex pensija 1989–1995 tikslinės grupės pensijų fondas,7704,16.12134,0.56,,2024-09-30,1989-1995,Goindex,1.3571978
719,"Goindex, UAB",GOX-89/95,Goindex pensija 1989–1995 tikslinės grupės pensijų fondas,9075,23.53334,0.56,,2024-12-31,1989-1995,Goindex,6.382978
909,"Goindex, UAB",GOX-89/95,Goindex pensija 1989–1995 tikslinės grupės pensijų fondas,10456,-5.7374516,0.5766,,2025-03-31,1989-1995,Goindex,-5.7374516
97,"Goindex, UAB",GOX-89/95,Goindex pensija 1989–1995 tikslinės grupės pensijų fondas,11599,-2.996139,0.5766,,2025-06-30,1989-1995,Goindex,2.9081702
239,"Goindex, UAB",GOX-89/95,Goindex pensija 1989–1995 tikslinės grupės pensijų fondas,12994,4.046332,0.5766,,2025-09-30,1989-1995,Goindex,7.259989
625,"Goindex, UAB",GOX-96/02,Goindex pensija 1996–2002 tikslinės grupės pensijų fondas [11],294,5.372967,0.21,,2023-03-31,1996-2002,Goindex,5.372967
409,"Goindex, UAB [11]",GOX-96/02,Goindex pensija 1996–2002 tikslinės grupės pensijų fondas,816,11.374088,0.21,,2023-06-30,1996-2002,Goindex,5.6951284
849,"Goindex, UAB [11]",GOX-96/02,Goindex pensija 1996–2002 tikslinės grupės pensijų fondas,3460,11.430174,0.21,,2023-09-30,1996-2002,Goindex,0.050354004
139,"Goindex, UAB [11]",GOX-96/02,Goindex pensija 1996–2002 tikslinės grupės pensijų fondas,4513,17.936064,0.21,,2023-12-31,1996-2002,Goindex,5.838537
577,"Goindex, UAB [11]",GOX-96/02,Goindex pensija 1996–2002 tikslinės grupės pensijų fondas,5820,10.2149515,0.57,,2024-03-31,1996-2002,Goindex,10.2149515
761,"Goindex, UAB [11]",GOX-96/02,Goindex pensija 1996–2002 tikslinės grupės pensijų fondas,6867,14.590071,0.57,,2024-06-30,1996-2002,Goindex,3.9696336
281,"Goindex, UAB [11]",GOX-96/02,Goindex pensija 1996–2002 tikslinės grupės pensijų fondas,9991,16.121363,0.57,,2024-09-30,1996-2002,Goindex,1.3363242
713,"Goindex, UAB [11]",GOX-96/02,Goindex pensija 1996–2002 tikslinės grupės pensijų fondas,11144,23.549553,0.57,,2024-12-31,1996-2002,Goindex,6.3969254
903,"Goindex, UAB",GOX-96/02,Goindex pensija 1996–2002 tikslinės grupės pensijų fondas,9816,-5.773672,0.5734,,2025-03-31,1996-2002,Goindex,-5.773672
91,"Goindex, UAB",GOX-96/02,Goindex pensija 1996–2002 tikslinės grupės pensijų fondas,10689,-3.0946882,0.5734,,2025-06-30,1996-2002,Goindex,2.8431296
233,"Goindex, UAB",GOX-96/02,Goindex pensija 1996–2002 tikslinės grupės pensijų fondas,12544,3.9568899,0.5734,,2025-09-30,1996-2002,Goindex,7.2767735
667,"Goindex, UAB",GOX-TIPF,Goindex turto išsaugojimo pensijų fondas [11],8,0.9534324,0.08,,2023-03-31,TIPF,Goindex,0.9534324
451,"Goindex, UAB",GOX-TIPF,Goindex turto išsaugojimo pensijų fondas,11,0.65234846,0.08,,2023-06-30,TIPF,Goindex,-0.29824376
891,"Goindex, UAB",GOX-TIPF,Goindex turto išsaugojimo pensijų fondas,18,0.9534324,0.08,,2023-09-30,TIPF,Goindex,0.29913187
181,"Goindex, UAB",GOX-TIPF,Goindex turto išsaugojimo pensijų fondas,22,4.164994,0.08,,2023-12-31,TIPF,Goindex,3.181231
619,"Goindex, UAB",GOX-TIPF,Goindex turto išsaugojimo pensijų fondas,26,-0.26014066,0.34,,2024-03-31,TIPF,Goindex,-0.26014066
803,"Goindex, UAB",GOX-TIPF,Goindex turto išsaugojimo pensijų fondas,26,-0.077078715,0.34,,2024-06-30,TIPF,Goindex,0.18353462
323,"Goindex, UAB",GOX-TIPF,Goindex turto išsaugojimo pensijų fondas,31,2.3605356,0.34,,2024-09-30,TIPF,Goindex,2.439499
755,"Goindex, UAB",GOX-TIPF,Goindex turto išsaugojimo pensijų fondas,45,2.7844687,0.34,,2024-12-31,TIPF,Goindex,0.4141569
945,"Goindex, UAB",GOX-TIPF,Goindex turto išsaugojimo pensijų fondas,45,0.56242967,0.3317,,2025-03-31,TIPF,Goindex,0.56242967
133,"Goindex, UAB",GOX-TIPF,Goindex turto išsaugojimo pensijų fondas,66,1.6966629,0.3317,,2025-06-30,TIPF,Goindex,1.1278868
275,"Goindex, UAB",GOX-TIPF,Goindex turto išsaugojimo pensijų fondas,104,1.9966254,0.3317,,2025-09-30,TIPF,Goindex,0.29495955
893,UAB „SB Asset Management“,INV-03/09,SB pensija 2003-2009 Index Plus,2389,-7.4,,,2025-03-31,2003-2009,Artea,-7.4
81,UAB „Artea Asset Management“,INV-03/09,Artea pensija 2003-2009 Index Plus,2346,-4.22,,,2025-06-30,2003-2009,Artea,3.4341335
223,UAB Artea Asset Management,INV-03/09,Artea pensija 2003-2009 Index Plus,4369,1.77,,,2025-09-30,2003-2009,Artea,6.25391
699,UAB „INVL Asset Management“,INV-54/60,INVL pensija 1954–1960,6327,-5.8348045,0.87,0.87,2020-03-31,1954-1960,Artea,-5.8348045
977,UAB „INVL Asset Management“,INV-54/60,INVL pensija 1954–1960,6040,-2.3041904,0.87,0.87,2020-06-30,1954-1960,Artea,3.7493825
483,UAB „INVL Asset Management“,INV-54/60,INVL pensija 1954–1960,5810,-0.44597232,0.87,0.87,2020-09-30,1954-1960,Artea,1.9020438
1017,UAB „INVL Asset Management“,INV-54/60,INVL pensija 1954–1960,5573,2.573632,0.87,0.87,2020-12-31,1954-1960,Artea,3.0331373
71,UAB „INVL Asset Management“,INV-54/60,INVL pensija 1954–1960,5455,0.09963768,0.72,0.72,2021-03-31,1954-1960,Artea,0.09963769
835,UAB „INVL Asset Management“,INV-54/60,INVL pensija 1954–1960,5270,1.3949275,0.72,0.72,2021-06-30,1954-1960,Artea,1.2940049
31,UAB „INVL Asset Management“,INV-54/60,INVL pensija 1954–1960,5001,1.3677536,0.72,0.72,2021-09-30,1954-1960,Artea,-0.026804209
523,UAB „INVL Asset Management“,INV-54/60,INVL pensija 1954–1960,4726,1.2862319,0.72,0.72,2021-12-31,1954-1960,Artea,-0.080412626
563,UAB „INVL Asset Management“,INV-54/60,INVL pensija 1954–1960,4621,-4.5072436,0.54,0.54,2022-03-31,1954-1960,Artea,-4.5072436
395,UAB „INVL Asset Management“,INV-54/60,INVL pensija 1954–1960 Index Plus,4429,-10.364872,0.54,0.54,2022-06-30,1954-1960,Artea,-6.1341105
355,UAB „INVL Asset Management“,INV-54/60,INVL pensija 1954–1960 Index Plus,4131,-12.493293,0.54,0.54,2022-09-30,1954-1960,Artea,-2.3745418
213,UAB „INVL Asset Management“,INV-54/60,INVL pensija 1954–1960 Index Plus,3837,-10.615274,0.54,0.54,2022-12-31,1954-1960,Artea,2.1461368
657,UAB „INVL Asset Management“,INV-54/60,INVL pensija 1954–1960 Index Plus,3702,1.9809905,0.54,0.54,2023-03-31,1954-1960,Artea,1.9809905
441,UAB „INVL Asset Management“,INV-54/60,INVL pensija 1954–1960 Index Plus,3460,3.631816,0.54,0.54,2023-06-30,1954-1960,Artea,1.6187549
881,UAB „INVL Asset Management“,INV-54/60,INVL pensija 1954–1960 Index Plus,3117,4.062031,0.54,0.54,2023-09-30,1954-1960,Artea,0.41513443
171,UAB „SB Asset Management“,INV-54/60,INVL pensija 1954–1960 Index Plus,2807,8.954477,0.54,0.54,2023-12-31,1954-1960,Artea,4.7014713
609,UAB „SB Asset Management“,INV-54/60,INVL pensija 1954–1960 Index Plus,2704,2.0752985,0.54,0.54,2024-03-31,1954-1960,Artea,2.0752985
793,UAB „SB Asset Management“,INV-54/60,INVL pensija 1954–1960 Index Plus,2487,3.1588614,0.54,0.54,2024-06-30,1954-1960,Artea,1.061523
313,UAB „SB Asset Management“,INV-54/60,INVL pensija 1954–1960 Index Plus,2105,6.097337,0.54,0.54,2024-09-30,1954-1960,Artea,2.848506
745,UAB „SB Asset Management“,INV-54/60,INVL pensija 1954–1960 Index Plus,1701,7.4471993,0.54,0.54,2024-12-31,1954-1960,Artea,1.272285
935,UAB „SB Asset Management“,INV-54/60,INVL pensija 1954–1960 Index Plus,1555,-0.40167508,0.56,0.56,2025-03-31,1954-1960,Artea,-0.4016751
123,UAB „Artea Asset Management“,INV-54/60,Artea pensija 1954–1960 Index Plus,1295,1.7947184,0.56,0.56,2025-06-30,1954-1960,Artea,2.2052526
265,UAB Artea Asset Management,INV-54/60,Artea pensija 1954–1960 Index Plus,917,3.74327,0.56,0.56,2025-09-30,1954-1960,Artea,1.9141912
694,UAB „INVL Asset Management“,INV-61/67,INVL pensija 1961–1967,18346,-12.431729,0.97,0.97,2020-03-31,1961-1967,Artea,-12.431729
972,UAB „INVL Asset Management“,INV-61/67,INVL pensija 1961–1967,18185,-4.9414825,0.97,0.97,2020-06-30,1961-1967,Artea,8.553612
478,UAB „INVL Asset Management“,INV-61/67,INVL pensija 1961–1967,18102,-2.4360642,0.97,0.97,2020-09-30,1961-1967,Artea,2.6356578
1012,UAB „INVL Asset Management“,INV-61/67,INVL pensija 1961–1967,18031,3.7364542,0.97,0.97,2020-12-31,1961-1967,Artea,6.3266397
66,UAB „INVL Asset Management“,INV-61/67,INVL pensija 1961–1967,17965,3.5851579,0.81,0.81,2021-03-31,1961-1967,Artea,3.5851579
830,UAB „INVL Asset Management“,INV-61/67,INVL pensija 1961–1967,17918,6.7942505,0.81,0.81,2021-06-30,1961-1967,Artea,3.098023
26,UAB „INVL Asset Management“,INV-61/67,INVL pensija 1961–1967,17884,7.329099,0.81,0.81,2021-09-30,1961-1967,Artea,0.50082207
518,UAB „INVL Asset Management“,INV-61/67,INVL pensija 1961–1967,17899,9.560421,0.81,0.81,2021-12-31,1961-1967,Artea,2.0789504
558,UAB „INVL Asset Management“,INV-61/67,INVL pensija 1961–1967,17901,-4.523265,0.71,0.71,2022-03-31,1961-1967,Artea,-4.523265
390,UAB „INVL Asset Management“,INV-61/67,INVL pensija 1961–1967 Index Plus,17921,-11.2967205,0.71,0.71,2022-06-30,1961-1967,Artea,-7.0943475
350,UAB „INVL Asset Management“,INV-61/67,INVL pensija 1961–1967 Index Plus,17910,-12.73074,0.71,0.71,2022-09-30,1961-1967,Artea,-1.6166508
208,UAB „INVL Asset Management“,INV-61/67,INVL pensija 1961–1967 Index Plus,17883,-10.823798,0.71,0.71,2022-12-31,1961-1967,Artea,2.1851301
651,UAB „INVL Asset Management“,INV-61/67,INVL pensija 1961–1967 Index Plus,17965,2.9167736,0.77,0.77,2023-03-31,1961-1967,Artea,2.9167736
435,UAB „INVL Asset Management“,INV-61/67,INVL pensija 1961–1967 Index Plus,17836,5.0551705,0.77,0.77,2023-06-30,1961-1967,Artea,2.0777822
875,UAB „INVL Asset Management“,INV-61/67,INVL pensija 1961–1967 Index Plus,17704,5.192028,0.77,0.77,2023-09-30,1961-1967,Artea,0.13028383
165,UAB „SB Asset Management“,INV-61/67,INVL pensija 1961–1967 Index Plus,17538,10.461039,0.77,0.77,2023-12-31,1961-1967,Artea,5.008948
603,UAB „SB Asset Management“,INV-61/67,INVL pensija 1961–1967 Index Plus,17483,3.407155,0.86,0.86,2024-03-31,1961-1967,Artea,3.407155
787,UAB „SB Asset Management“,INV-61/67,INVL pensija 1961–1967 Index Plus,17378,5.002323,0.86,0.86,2024-06-30,1961-1967,Artea,1.542604
307,UAB „SB Asset Management“,INV-61/67,INVL pensija 1961–1967 Index Plus,17282,8.130711,0.86,0.86,2024-09-30,1961-1967,Artea,2.97935
739,UAB „SB Asset Management“,INV-61/67,INVL pensija 1961–1967 Index Plus,17259,10.035621,0.86,0.86,2024-12-31,1961-1967,Artea,1.7616749
929,UAB „SB Asset Management“,INV-61/67,INVL pensija 1961–1967 Index Plus,17171,-0.49964812,0.83,0.83,2025-03-31,1961-1967,Artea,-0.49964812
117,UAB „Artea Asset Management“,INV-61/67,Artea pensija 1961–1967 Index Plus,17086,2.0548909,0.83,0.83,2025-06-30,1961-1967,Artea,2.5673747
259,UAB Artea Asset Management,INV-61/67,Artea pensija 1961–1967 Index Plus,17061,4.419423,0.83,0.83,2025-09-30,1961-1967,Artea,2.316916
689,UAB „INVL Asset Management“,INV-68/74,INVL pensija 1968–1974,23047,-16.098843,1.08,1.08,2020-03-31,1968-1974,Artea,-16.098843
967,UAB „INVL Asset Management“,INV-68/74,INVL pensija 1968–1974,22937,-6.7071667,1.08,1.08,2020-06-30,1968-1974,Artea,11.193741
473,UAB „INVL Asset Management“,INV-68/74,INVL pensija 1968–1974,22925,-3.858468,1.08,1.08,2020-09-30,1968-1974,Artea,3.0534983
1007,UAB „INVL Asset Management“,INV-68/74,INVL pensija 1968–1974,22999,4.359248,1.08,1.08,2020-12-31,1968-1974,Artea,8.547521
61,UAB „INVL Asset Management“,INV-68/74,INVL pensija 1968–1974,23063,7.5991187,0.93,0.93,2021-03-31,1968-1974,Artea,7.599118
825,UAB „INVL Asset Management“,INV-68/74,INVL pensija 1968–1974,23174,12.326935,0.93,0.93,2021-06-30,1968-1974,Artea,4.3939233
21,UAB „INVL Asset Management“,INV-68/74,INVL pensija 1968–1974,23244,13.491189,0.93,0.93,2021-09-30,1968-1974,Artea,1.036489
513,UAB „INVL Asset Management“,INV-68/74,INVL pensija 1968–1974,23352,18.942732,0.93,0.93,2021-12-31,1968-1974,Artea,4.8035026
553,UAB „INVL Asset Management“,INV-68/74,INVL pensija 1968–1974,23418,-3.783069,0.92,0.92,2022-03-31,1968-1974,Artea,-3.783069
385,UAB „INVL Asset Management“,INV-68/74,INVL pensija 1968–1974 Index Plus,23464,-10.998677,0.92,0.92,2022-06-30,1968-1974,Artea,-7.4993134
345,UAB „INVL Asset Management“,INV-68/74,INVL pensija 1968–1974 Index Plus,23492,-11.223545,0.92,0.92,2022-09-30,1968-1974,Artea,-0.25265217
203,UAB „INVL Asset Management“,INV-68/74,INVL pensija 1968–1974 Index Plus,23619,-9.880953,0.92,0.92,2022-12-31,1968-1974,Artea,1.5123248
645,UAB „INVL Asset Management“,INV-68/74,INVL pensija 1968–1974 Index Plus,23611,3.9850285,1.05,1.05,2023-03-31,1968-1974,Artea,3.9850283
429,UAB „INVL Asset Management“,INV-68/74,INVL pensija 1968–1974 Index Plus,23684,6.9572873,1.05,1.05,2023-06-30,1968-1974,Artea,2.8583646
869,UAB „INVL Asset Management“,INV-68/74,INVL pensija 1968–1974 Index Plus,23613,6.920593,1.05,1.05,2023-09-30,1968-1974,Artea,-0.034314394
159,UAB „SB Asset Management“,INV-68/74,INVL pensija 1968–1974 Index Plus,23420,11.903713,1.05,1.05,2023-12-31,1968-1974,Artea,4.6605825
597,UAB „SB Asset Management“,INV-68/74,INVL pensija 1968–1974 Index Plus,23225,5.6007347,1.23,1.23,2024-03-31,1968-1974,Artea,5.6007347
781,UAB „SB Asset Management“,INV-68/74,INVL pensija 1968–1974 Index Plus,23110,8.151889,1.23,1.23,2024-06-30,1968-1974,Artea,2.4158478
301,UAB „SB Asset Management“,INV-68/74,INVL pensija 1968–1974 Index Plus,22931,10.893232,1.23,1.23,2024-09-30,1968-1974,Artea,2.5347233
733,UAB „SB Asset Management“,INV-68/74,INVL pensija 1968–1974 Index Plus,22802,14.13956,1.23,1.23,2024-12-31,1968-1974,Artea,2.9274225
923,UAB „SB Asset Management“,INV-68/74,INVL pensija 1968–1974 Index Plus,22526,-2.0167778,1.1,1.1,2025-03-31,1968-1974,Artea,-2.0167778
111,UAB „Artea Asset Management“,INV-68/74,Artea pensija 1968–1974 Index Plus,22344,0.7354631,1.1,1.1,2025-06-30,1968-1974,Artea,2.8088927
253,UAB Artea Asset Management,INV-68/74,Artea pensija 1968–1974 Index Plus,22202,4.5679154,1.1,1.1,2025-09-30,1968-1974,Artea,3.804481
684,UAB „INVL Asset Management“,INV-75/81,INVL pensija 1975–1981,26979,-17.636038,1.09,1.09,2020-03-31,1975-1981,Artea,-17.636038
962,UAB „INVL Asset Management“,INV-75/81,INVL pensija 1975–1981,26925,-7.502444,1.09,1.09,2020-06-30,1975-1981,Artea,12.303436
468,UAB „INVL Asset Management“,INV-75/81,INVL pensija 1975–1981,27136,-4.366243,1.09,1.09,2020-09-30,1975-1981,Artea,3.3905745
1002,UAB „INVL Asset Management“,INV-75/81,INVL pensija 1975–1981,27259,4.692082,1.09,1.09,2020-12-31,1975-1981,Artea,9.471882
56,UAB „INVL Asset Management“,INV-75/81,INVL pensija 1975–1981,27290,9.453781,0.95,0.95,2021-03-31,1975-1981,Artea,9.453781
820,UAB „INVL Asset Management“,INV-75/81,INVL pensija 1975–1981,27448,15.024899,0.95,0.95,2021-06-30,1975-1981,Artea,5.0899267
16,UAB „INVL Asset Management“,INV-75/81,INVL pensija 1975–1981,27590,16.51883,0.95,0.95,2021-09-30,1975-1981,Artea,1.2987852
508,UAB „INVL Asset Management“,INV-75/81,INVL pensija 1975–1981,27745,24.089636,0.95,0.95,2021-12-31,1975-1981,Artea,6.4974904
548,UAB „INVL Asset Management“,INV-75/81,INVL pensija 1975–1981,27817,-3.2417858,1.01,1.01,2022-03-31,1975-1981,Artea,-3.2417855
380,UAB „INVL Asset Management“,INV-75/81,INVL pensija 1975–1981 Index Plus,27985,-10.897919,1.01,1.01,2022-06-30,1975-1981,Artea,-7.9126415
340,UAB „INVL Asset Management“,INV-75/81,INVL pensija 1975–1981 Index Plus,28070,-10.609481,1.01,1.01,2022-09-30,1975-1981,Artea,0.32371283
198,UAB „INVL Asset Management“,INV-75/81,INVL pensija 1975–1981 Index Plus,28159,-9.907198,1.01,1.01,2022-12-31,1975-1981,Artea,0.7856369
639,UAB „INVL Asset Management“,INV-75/81,INVL pensija 1975–1981 Index Plus,28219,4.9136972,1.19,1.19,2023-03-31,1975-1981,Artea,4.9136972
423,UAB „INVL Asset Management“,INV-75/81,INVL pensija 1975–1981 Index Plus,28347,8.609409,1.19,1.19,2023-06-30,1975-1981,Artea,3.5226226
863,UAB „INVL Asset Management“,INV-75/81,INVL pensija 1975–1981 Index Plus,28330,8.442372,1.19,1.19,2023-09-30,1975-1981,Artea,-0.15379786
153,UAB „SB Asset Management“,INV-75/81,INVL pensija 1975–1981 Index Plus,28088,13.321269,1.19,1.19,2023-12-31,1975-1981,Artea,4.499066
591,UAB „SB Asset Management“,INV-75/81,INVL pensija 1975–1981 Index Plus,27850,7.916718,1.39,1.39,2024-03-31,1975-1981,Artea,7.916718
775,UAB „SB Asset Management“,INV-75/81,INVL pensija 1975–1981 Index Plus,27664,11.411374,1.39,1.39,2024-06-30,1975-1981,Artea,3.2382846
295,UAB „SB Asset Management“,INV-75/81,INVL pensija 1975–1981 Index Plus,27308,13.536421,1.39,1.39,2024-09-30,1975-1981,Artea,1.9073844
727,UAB „SB Asset Management“,INV-75/81,INVL pensija 1975–1981 Index Plus,27066,18.48053,1.39,1.39,2024-12-31,1975-1981,Artea,4.354644
917,UAB „SB Asset Management“,INV-75/81,INVL pensija 1975–1981 Index Plus,26657,-4.178114,1.28,1.28,2025-03-31,1975-1981,Artea,-4.178114
105,UAB „Artea Asset Management“,INV-75/81,Artea pensija 1975–1981 Index Plus,26365,-1.4825566,1.28,1.28,2025-06-30,1975-1981,Artea,2.813089
247,UAB Artea Asset Management,INV-75/81,Artea pensija 1975–1981 Index Plus,26079,3.721943,1.28,1.28,2025-09-30,1975-1981,Artea,5.2828193
679,UAB „INVL Asset Management“,INV-82/88,INVL pensija 1982–1988,41287,-17.628756,1.09,1.09,2020-03-31,1982-1988,Artea,-17.628756
957,UAB „INVL Asset Management“,INV-82/88,INVL pensija 1982–1988,41208,-7.475641,1.09,1.09,2020-06-30,1982-1988,Artea,12.326038
463,UAB „INVL Asset Management“,INV-82/88,INVL pensija 1982–1988,42317,-4.298698,1.09,1.09,2020-09-30,1982-1988,Artea,3.433621
997,UAB „INVL Asset Management“,INV-82/88,INVL pensija 1982–1988,42322,4.757226,1.09,1.09,2020-12-31,1982-1988,Artea,9.462702
51,UAB „INVL Asset Management“,INV-82/88,INVL pensija 1982–1988,42264,9.47319,0.94,0.94,2021-03-31,1982-1988,Artea,9.47319
815,UAB „INVL Asset Management“,INV-82/88,INVL pensija 1982–1988,42313,15.046115,0.94,0.94,2021-06-30,1982-1988,Artea,5.0906777
11,UAB „INVL Asset Management“,INV-82/88,INVL pensija 1982–1988,43229,16.539003,0.94,0.94,2021-09-30,1982-1988,Artea,1.2976408
503,UAB „INVL Asset Management“,INV-82/88,INVL pensija 1982–1988,43330,24.128498,0.94,0.94,2021-12-31,1982-1988,Artea,6.5124035
543,UAB „INVL Asset Management“,INV-82/88,INVL pensija 1982–1988,43334,-3.274353,1.02,1.02,2022-03-31,1982-1988,Artea,-3.2743528
375,UAB „INVL Asset Management“,INV-82/88,INVL pensija 1982–1988 Index Plus,43436,-11.019457,1.02,1.02,2022-06-30,1982-1988,Artea,-8.007294
335,UAB „INVL Asset Management“,INV-82/88,INVL pensija 1982–1988 Index Plus,44285,-10.729803,1.02,1.02,2022-09-30,1982-1988,Artea,0.3255248
193,UAB „INVL Asset Management“,INV-82/88,INVL pensija 1982–1988 Index Plus,44313,-10.030854,1.02,1.02,2022-12-31,1982-1988,Artea,0.7829547
633,UAB „INVL Asset Management“,INV-82/88,INVL pensija 1982–1988 Index Plus,44271,4.857223,1.19,1.19,2023-03-31,1982-1988,Artea,4.857223
417,UAB „INVL Asset Management“,INV-82/88,INVL pensija 1982–1988 Index Plus,45858,8.636619,1.19,1.19,2023-06-30,1982-1988,Artea,3.6043286
857,UAB „INVL Asset Management“,INV-82/88,INVL pensija 1982–1988 Index Plus,45540,8.545632,1.19,1.19,2023-09-30,1982-1988,Artea,-0.08375049
147,UAB „SB Asset Management“,INV-82/88,INVL pensija 1982–1988 Index Plus,44919,13.43785,1.19,1.19,2023-12-31,1982-1988,Artea,4.507053
585,UAB „SB Asset Management“,INV-82/88,INVL pensija 1982–1988 Index Plus,44292,8.057749,1.38,1.38,2024-03-31,1982-1988,Artea,8.057749
769,UAB „SB Asset Management“,INV-82/88,INVL pensija 1982–1988 Index Plus,43795,11.537513,1.38,1.38,2024-06-30,1982-1988,Artea,3.220284
289,UAB „SB Asset Management“,INV-82/88,INVL pensija 1982–1988 Index Plus,44215,13.721619,1.38,1.38,2024-09-30,1982-1988,Artea,1.9581795
721,UAB „SB Asset Management“,INV-82/88,INVL pensija 1982–1988 Index Plus,43483,18.75,1.38,1.38,2024-12-31,1982-1988,Artea,4.4216514
911,UAB „SB Asset Management“,INV-82/88,INVL pensija 1982–1988 Index Plus,42737,-4.3227515,1.26,1.26,2025-03-31,1982-1988,Artea,-4.3227515
